tab	specimens
specimen	sample	analysts	citations	method_codes	volume	weight
CF-1a	CF-1	James Pierce	This study	LP-NOMAG		
CF-2a	CF-2	James Pierce	This study	LP-NOMAG		
CF-3a	CF-3	James Pierce	This study	LP-NOMAG		
CF-4a	CF-4	James Pierce	This study	LP-NOMAG		
CF-5a	CF-5	James Pierce	This study	LP-NOMAG		
CF-6a	CF-6	James Pierce	This study	LP-NOMAG		
CF-7a	CF-7	James Pierce	This study	LP-NOMAG		
CF-8a	CF-8	James Pierce	This study	LP-NOMAG		
CF-9a	CF-9	James Pierce	This study	LP-NOMAG		
CF-10a	CF-10	James Pierce	This study	LP-NOMAG		
CF-11a	CF-11	James Pierce	This study	LP-NOMAG		
CF-12a	CF-12	James Pierce	This study	LP-NOMAG		
CF-13a	CF-13	James Pierce	This study	LP-NOMAG		
CF-14a	CF-14	James Pierce	This study	LP-NOMAG		
CF-15a	CF-15	James Pierce	This study	LP-NOMAG		
CF-16a	CF-16	James Pierce	This study	LP-NOMAG		
CF-17a	CF-17	James Pierce	This study	LP-NOMAG		
CF-18a	CF-18	James Pierce	This study	LP-NOMAG		
CF-19a	CF-19	James Pierce	This study	LP-NOMAG		
CF-20a	CF-20	James Pierce	This study	LP-NOMAG		
CF-21a	CF-21	James Pierce	This study	LP-NOMAG		
CF-22a	CF-22	James Pierce	This study	LP-NOMAG		
CF-23a	CF-23	James Pierce	This study	LP-NOMAG		
CF-24a	CF-24	James Pierce	This study	LP-NOMAG		
CF-25a	CF-25	James Pierce	This study	LP-NOMAG		
CF-26a	CF-26	James Pierce	This study	LP-NOMAG		
CF-27a	CF-27	James Pierce	This study	LP-NOMAG		
CF-28a	CF-28	James Pierce	This study	LP-NOMAG		
CF-29a	CF-29	James Pierce	This study	LP-NOMAG		
CF-30a	CF-30	James Pierce	This study	LP-NOMAG		
CF-31a	CF-31	James Pierce	This study	LP-NOMAG		
CF-33a	CF-33	James Pierce	This study	LP-NOMAG		
CF-35a	CF-35	James Pierce	This study	LP-NOMAG		
CF-36a	CF-36	James Pierce	This study	LP-NOMAG		
CF-37a	CF-37	James Pierce	This study	LP-NOMAG		
CF-38a	CF-38	James Pierce	This study	LP-NOMAG		
CF-39a	CF-39	James Pierce	This study	LP-NOMAG		
CF-40a	CF-40	James Pierce	This study	LP-NOMAG		
CF-41a	CF-41	James Pierce	This study	LP-NOMAG		
CF-43a	CF-43	James Pierce	This study	LP-NOMAG		
CF-44a	CF-44	James Pierce	This study	LP-NOMAG		
CF-45a	CF-45	James Pierce	This study	LP-NOMAG		
CF-46a	CF-46	James Pierce	This study	LP-NOMAG		
CF-47a	CF-47	James Pierce	This study	LP-NOMAG		
CF-48a	CF-48	James Pierce	This study	LP-NOMAG		
CF-49a	CF-49	James Pierce	This study	LP-NOMAG		
CF-50a	CF-50	James Pierce	This study	LP-NOMAG		
CF-51a	CF-51	James Pierce	This study	LP-NOMAG		
CF-52a	CF-52	James Pierce	This study	LP-NOMAG		
CF-53a	CF-53	James Pierce	This study	LP-NOMAG		
CF-54a	CF-54	James Pierce	This study	LP-NOMAG		
CF-56a	CF-56	James Pierce	This study	LP-NOMAG		
CF-57a	CF-57	James Pierce	This study	LP-NOMAG		
CF-58a	CF-58	James Pierce	This study	LP-NOMAG		
CF-59a	CF-59	James Pierce	This study	LP-NOMAG		
CF-60a	CF-60	James Pierce	This study	LP-NOMAG		
CF-61a	CF-61	James Pierce	This study	LP-NOMAG		
CF-62a	CF-62	James Pierce	This study	LP-NOMAG		
CF-63a	CF-63	James Pierce	This study	LP-NOMAG		
CF-64a	CF-64	James Pierce	This study	LP-NOMAG		
CF-65a	CF-65	James Pierce	This study	LP-NOMAG		
CF-66a	CF-66	James Pierce	This study	LP-NOMAG		
CF-67a	CF-67	James Pierce	This study	LP-NOMAG		
CF-68a	CF-68	James Pierce	This study	LP-NOMAG		
CF-69a	CF-69	James Pierce	This study	LP-NOMAG		
CF-70a	CF-70	James Pierce	This study	LP-NOMAG		
CF-71a	CF-71	James Pierce	This study	LP-NOMAG		
CF-72a	CF-72	James Pierce	This study	LP-NOMAG		
CF-73a	CF-73	James Pierce	This study	LP-NOMAG		
CF-74a	CF-74	James Pierce	This study	LP-NOMAG		
CF-75a	CF-75	James Pierce	This study	LP-NOMAG		
CF-76a	CF-76	James Pierce	This study	LP-NOMAG		
CF-77a	CF-77	James Pierce	This study	LP-NOMAG		
CF-78a	CF-78	James Pierce	This study	LP-NOMAG		
CF-79a	CF-79	James Pierce	This study	LP-NOMAG		
CF-80a	CF-80	James Pierce	This study	LP-NOMAG		
CF-81a	CF-81	James Pierce	This study	LP-NOMAG		
CF-82a	CF-82	James Pierce	This study	LP-NOMAG		
CF-83a	CF-83	James Pierce	This study	LP-NOMAG		
CF-84a	CF-84	James Pierce	This study	LP-NOMAG		
CF-85a	CF-85	James Pierce	This study	LP-NOMAG		
CF-86a	CF-86	James Pierce	This study	LP-NOMAG		
CF-87a	CF-87	James Pierce	This study	LP-NOMAG		
CF-88a	CF-88	James Pierce	This study	LP-NOMAG		
CF-89a	CF-89	James Pierce	This study	LP-NOMAG		
CF-90a	CF-90	James Pierce	This study	LP-NOMAG		
CF-91a	CF-91	James Pierce	This study	LP-NOMAG		
CF-92a	CF-92	James Pierce	This study	LP-NOMAG		
CF-93a	CF-93	James Pierce	This study	LP-NOMAG		
CF-94a	CF-94	James Pierce	This study	LP-NOMAG		
CF-96a	CF-96	James Pierce	This study	LP-NOMAG		
CF-97a	CF-97	James Pierce	This study	LP-NOMAG		
CF-98a	CF-98	James Pierce	This study	LP-NOMAG		
CF-99a	CF-99	James Pierce	This study	LP-NOMAG		
CF-100a	CF-100	James Pierce	This study	LP-NOMAG		
CF-101a	CF-101	James Pierce	This study	LP-NOMAG		
CF-102a	CF-102	James Pierce	This study	LP-NOMAG		
CF-103a	CF-103	James Pierce	This study	LP-NOMAG		
CF-104a	CF-104	James Pierce	This study	LP-NOMAG		
CF-105a	CF-105	James Pierce	This study	LP-NOMAG		
CF-106a	CF-106	James Pierce	This study	LP-NOMAG		
CF-107a	CF-107	James Pierce	This study	LP-NOMAG		
CF-108a	CF-108	James Pierce	This study	LP-NOMAG		
CF-109a	CF-109	James Pierce	This study	LP-NOMAG		
CF-110a	CF-110	James Pierce	This study	LP-NOMAG		
CF-111a	CF-111	James Pierce	This study	LP-NOMAG		
CF-112a	CF-112	James Pierce	This study	LP-NOMAG		
CF-113a	CF-113	James Pierce	This study	LP-NOMAG		
CF-114a	CF-114	James Pierce	This study	LP-NOMAG		
CF-115a	CF-115	James Pierce	This study	LP-NOMAG		
CF-116a	CF-116	James Pierce	This study	LP-NOMAG		
CF-117a	CF-117	James Pierce	This study	LP-NOMAG		
CF-118a	CF-118	James Pierce	This study	LP-NOMAG		
CF-119a	CF-119	James Pierce	This study	LP-NOMAG		
